realtime,framenum,rendertime(ms),fps,GPUUtil(%)
3.043421,174,7.495,29.99476,50
3.060442,175,8.0278,30.013984,50
3.076504,176,7.476,29.994031,50
3.093564,177,7.5204,29.984048,50
3.109795,178,6.6441,30.010029,50
3.126268,179,7.1172,29.995495,50
3.142764,180,6.5813,29.995786,50
3.159736,181,5.4995,29.992058,52
3.179427,182,6.2058,29.929534,52
3.194517,183,11.2537,29.965626,52
3.211379,184,7.458,29.962403,52
3.226346,185,5.9422,29.989147,52
3.244012,186,5.9728,29.95595,52
3.260017,187,6.9266,29.9921,52
3.276365,188,4.7863,29.98897,52
3.293084,189,6.9717,29.984717,52
3.310316,190,7.1839,29.97841,52
3.326189,191,4.8287,29.993782,52
3.343121,192,5.6882,30.013476,52
3.360079,193,5.6804,29.977406,50
3.377251,194,11.5281,29.960485,50
3.393664,195,10.3266,29.983197,50
3.410442,196,7.4327,29.971386,50
3.426827,197,5.3969,29.977358,50
3.444101,198,5.0019,29.974899,50
3.461168,199,5.0991,29.953458,50
3.478172,200,5.013,29.909214,50
3.493345,201,6.1677,29.97247,50
3.510218,202,7.2295,29.981462,50
3.527048,203,5.8902,29.97702,50
3.54386,204,4.6748,29.964764,50
3.560232,205,7.2839,29.967572,49
3.576166,206,5.1108,29.988365,49
3.593842,207,5.425,29.957742,49
3.610137,208,6.7271,29.982089,49
3.627701,209,5.7821,29.942406,49
3.643956,210,5.3854,29.963726,49
3.660682,211,5.0559,29.950988,49
3.676934,212,6.8423,29.967862,49
3.69276,213,4.5552,29.98466,49
3.709952,214,6.9769,29.984354,49
3.727414,215,5.9334,29.978958,49
3.744283,216,7.1802,29.95042,49
3.760718,217,5.3528,29.959848,48
3.778229,218,6.0525,29.918633,48
3.794036,219,4.7008,29.955304,48
3.810826,220,4.4611,29.967171,48
3.827462,221,5.5761,29.952468,48
3.844084,222,8.1878,29.958893,48
3.861492,223,5.5245,29.9424,48
3.877888,224,4.7953,29.941961,48
3.894312,225,4.6454,29.953671,48
3.910604,226,6.2388,29.971826,48
3.927501,227,5.9119,29.971228,48
3.943668,228,5.4647,29.989336,48
3.960218,229,5.8545,29.963675,49
3.977346,230,5.5246,29.955555,49
3.994417,231,5.0466,29.949933,49
4.009897,232,6.5433,29.978892,49
4.027323,233,5.7656,29.966626,49
4.044276,234,5.6917,29.948133,49
4.060869,235,5.7413,29.966875,49
4.078388,236,5.1993,29.925193,49
4.095322,237,5.402,29.927059,49
4.110336,238,6.4075,29.960386,49
4.126976,239,5.5815,29.960976,49
4.143904,240,5.277,29.957637,49
4.160305,241,7.1518,29.964085,48
4.178098,242,5.9218,30.02648,48
4.193513,243,7.1226,30.013854,48
4.211906,244,5.7344,29.977819,48
4.227828,245,6.6059,29.939474,48
4.244039,246,6.8537,29.987699,48
4.260683,247,5.3489,29.97077,48
4.278042,248,6.1289,29.950151,48
4.293953,249,6.9668,29.956611,48
4.31139,250,5.404,29.956228,48
4.328051,251,7.0241,29.935534,48
4.344165,252,6.9449,29.956291,48
4.361876,253,5.6103,29.940487,48
4.378154,254,4.8402,29.959357,48
4.394752,255,4.8176,29.956557,48
4.41123,256,6.7228,29.964983,48
4.428578,257,5.6108,29.936633,48
4.444728,258,4.7223,29.967973,48
4.461997,259,5.958,29.970856,48
4.478219,260,7.1316,30.001896,48
4.494191,261,6.9968,29.979135,48
4.510612,262,7.1736,29.982376,48
4.527154,263,4.9955,29.997258,48
4.545117,264,5.8778,29.961401,48
4.561568,265,7.3411,29.972961,48
4.578797,266,5.4691,29.919782,48
4.595597,267,5.2334,29.947918,48
4.613792,268,7.8092,29.931128,48
4.628902,269,8.4829,30.017894,48
4.645608,270,5.4983,29.97271,48
4.662658,271,8.5632,29.991731,48
4.677587,272,5.9844,29.999145,48
4.69503,273,5.8625,29.970566,48
4.711453,274,7.0147,29.974408,48
4.729378,275,6.3853,29.991096,48
4.744394,276,5.411,30.009057,48
4.762278,277,6.2245,29.994916,54
4.778111,278,7.0267,30.025182,54
4.795326,279,9.1196,30.01314,54
4.811274,280,7.3955,29.999598,54
4.827991,281,7.5905,30.015638,54
4.844931,282,4.8629,29.983383,54
4.86241,283,8.2894,30.018035,54
4.877547,284,5.9974,30.018302,54
4.894016,285,7.9351,30.031858,54
4.911302,286,5.9232,29.986368,54
4.928987,287,8.3671,30.003937,54
4.944266,288,6.6629,29.990262,54
4.961799,289,6.473,29.983566,51
4.97743,290,6.8951,30.004891,51
4.995874,291,6.722,29.994565,51
5.010498,292,6.14,29.989785,51
5.027692,293,7.1003,30.006499,51
5.044389,294,6.0213,30.008943,51
5.06148,295,8.2676,30.00873,51
5.078073,296,7.4236,30.017771,51
5.095095,297,5.8815,30.028888,51
5.111209,298,6.4855,29.980003,51
5.129773,299,6.4826,29.950456,51
5.144786,300,5.5279,29.979839,51
5.161579,301,8.3111,29.995261,51
5.178158,302,4.6996,30.003144,51
5.195199,303,8.3014,29.991099,51
5.212153,304,5.2289,30.005932,51
5.228936,305,7.5038,30.005158,51
5.244744,306,10.488,29.987022,51
5.261909,307,8.6339,30.01005,51
5.278449,308,5.1965,29.990538,51
5.295039,309,7.7464,30.001281,51
5.31097,310,6.6563,30.018239,51
5.328837,311,5.4309,30.021351,51
5.344392,312,7.0119,30.000141,51
5.362459,313,6.0332,30.018215,51
5.378255,314,6.7991,30.003,51
5.395179,315,8.5577,30.023815,51
5.41092,316,7.2693,30.01708,51
5.429137,317,5.9845,30.014899,51
5.444586,318,6.6697,30.012467,51
5.461869,319,7.7221,30.043106,51
5.478626,320,5.4191,30.002661,51
5.495941,321,5.7291,29.979898,51
5.511399,322,5.1448,29.983905,51
