realtime,framenum,rendertime(ms),GPUUtil(%)
0.171786,12,8.2137,88
0.201297,12,0.0011,88
0.201632,12,0.0003,88
0.202015,12,0.0004,88
0.203482,12,1.139,88
0.210894,13,6.8447,88
0.218376,14,6.7749,88
0.226604,15,6.5196,92
0.236162,16,6.9374,92
0.243424,17,6.7897,92
0.25133,18,6.2117,92
0.26004,19,6.859,92
0.269578,20,7.941,92
0.276847,21,6.6417,92
0.284653,22,6.0816,92
0.293304,23,5.7323,92
0.302414,24,7.3461,92
0.309887,25,7.0488,92
0.318093,26,6.4742,92
0.326803,27,7.135,92
0.336109,28,8.2643,92
0.343367,29,6.6833,92
0.351282,30,6.1011,92
0.359493,31,6.3379,92
0.369068,32,7.9193,92
0.376493,33,6.7374,92
0.385006,34,6.8489,92
0.392973,35,6.9255,92
0.402588,36,7.8142,92
0.410168,37,7.155,92
0.41832,38,6.533,92
0.426872,39,7.0754,91
0.436791,40,7.5244,91
0.444403,41,7.1733,91
0.451815,42,6.411,91
0.459942,43,6.5199,91
0.469773,44,8.3391,91
0.477341,45,6.9601,91
0.484825,46,6.9483,91
0.493459,47,6.014,91
0.502515,48,8.3798,91
0.50996,49,7.0019,91
0.517999,50,6.0296,91
0.526565,51,6.6064,91
0.535336,52,7.8802,91
0.543739,53,6.2639,91
0.551148,54,6.639,91
0.559769,55,6.7273,91
0.568544,56,7.0278,91
0.57614,57,7.0025,91
0.585027,58,6.9911,91
0.593435,59,7.2507,91
0.608263,60,6.2684,91
0.615946,61,7.0686,91
0.623541,62,7.1515,91
0.631983,63,7.3152,90
0.639931,64,7.3317,90
0.648891,65,8.3404,90
0.656542,66,7.0487,90
0.665635,67,7.5274,90
0.673742,68,7.2372,90
0.681788,69,7.4808,90
0.689576,70,7.3062,90
0.69778,71,7.4526,90
0.705981,72,6.371,90
0.714795,73,6.6736,90
0.722926,74,7.4,90
0.731302,75,6.6547,90
0.739594,76,6.4465,90
0.748154,77,6.4955,90
0.756372,78,6.1338,90
0.765104,79,8.057,90
0.773109,80,6.9112,90
0.781233,81,7.4424,90
0.78992,82,7.1429,90
0.797612,83,7.0787,90
0.805958,84,6.6985,90
0.814229,85,7.2517,90
0.823234,86,6.5248,90
0.831253,87,7.3953,95
0.839404,88,6.6128,95
0.847769,89,6.4757,95
0.856096,90,7.4761,95
0.864239,91,6.3474,95
0.872649,92,7.465,95
0.880833,93,6.3466,95
0.889111,94,6.8363,95
0.897872,95,7.0883,95
0.907112,96,7.3034,95
0.915071,97,7.0324,95
0.922905,98,7.3346,95
0.931246,99,6.7835,95
0.939279,100,7.4453,95
0.948354,101,7.3081,95
0.957897,102,7.2533,95
0.96596,103,7.6479,95
0.974043,104,7.1126,95
0.982491,105,7.5412,95
0.990442,106,7.5555,95
0.998586,107,7.574,95
1.006804,108,7.807,95
1.015433,109,7.5631,95
1.023399,110,7.4088,95
1.032512,111,7.6826,97
1.040787,112,7.7241,97
1.049044,113,7.7985,97
1.057058,114,7.3986,97
1.065269,115,7.6959,97
1.073571,116,7.3149,97
1.081659,117,7.5329,97
1.089548,118,7.3975,97
1.098068,119,7.6193,97
1.106261,120,7.6687,97
1.114643,121,7.5462,97
1.123545,122,7.1872,97
1.1317,123,7.3191,97
1.139772,124,7.573,97
1.147913,125,7.6573,97
1.156205,126,7.6469,97
1.165347,127,7.2636,97
1.173494,128,7.3094,97
1.181427,129,7.3878,97
1.189658,130,6.4892,97
1.19785,131,7.2105,97
1.206299,132,7.0141,97
1.21544,133,7.1384,97
1.223622,134,7.7102,97
1.231457,135,6.928,98
1.239685,136,7.6104,98
1.247844,137,7.5484,98
1.256214,138,7.6716,98
1.26455,139,7.6938,98
1.272876,140,7.2101,98
1.281222,141,7.6849,98
1.289567,142,6.6509,98
1.297977,143,7.3827,98
1.306453,144,7.8914,98
1.314696,145,7.3742,98
1.322986,146,6.5126,98
1.331221,147,7.7909,98
1.339603,148,7.732,98
1.347868,149,7.5568,98
1.356069,150,7.6173,98
1.364505,151,6.7419,98
1.372708,152,7.1064,98
1.381364,153,6.5848,98
1.389394,154,7.4755,98
1.397859,155,6.5866,98
1.405896,156,7.5385,98
1.414164,157,7.4121,98
1.422752,158,6.8643,98
1.43118,159,6.7677,96
1.440093,160,8.2168,96
1.448087,161,7.5412,96
1.455983,162,7.3132,96
1.464561,163,7.1277,96
1.472939,164,7.524,96
1.481142,165,7.6189,96
1.48951,166,6.5371,96
1.497904,167,7.6744,96
1.506537,168,6.9801,96
1.514643,169,7.1193,96
1.522803,170,7.5505,96
1.531037,171,7.5905,96
1.539868,172,7.2826,96
1.548093,173,7.7554,96
1.556382,174,7.5086,96
1.564561,175,7.641,96
1.57304,176,7.4961,96
1.58107,177,7.4603,96
1.589838,178,6.9412,96
1.597995,179,7.5618,96
1.6063,180,7.8048,96
1.614354,181,7.0505,96
1.622808,182,6.8375,96
1.631413,183,6.8686,96
1.639346,184,7.3597,96
1.647405,185,7.3915,96
1.656148,186,7.4872,96
1.664182,187,7.4316,96
1.67262,188,7.4619,96
1.68099,189,6.3856,96
1.689246,190,6.6381,96
1.697796,191,6.6993,96
1.706212,192,6.6119,96
1.715149,193,7.0432,96
1.722854,194,7.1944,96
1.730884,195,7.4575,96
1.739552,196,6.9168,96
1.747713,197,6.5732,96
1.756391,198,6.7341,96
1.764135,199,7.2113,96
1.772433,200,7.3505,96
1.781452,201,7.1192,96
1.789054,202,7.0985,96
1.797942,203,7.0727,96
