realtime,framenum,rendertime(ms),GPUUtil(%)
0.147673,10,0.072700,90
0.173021,10,0.000400,90
0.173750,10,0.000300,90
0.174575,10,0.000200,90
0.180823,11,5.616700,90
0.188505,12,7.148400,90
0.196763,13,6.441200,90
0.204875,14,6.455900,90
0.214477,15,7.935800,90
0.222135,16,6.891800,90
0.230105,17,6.028400,90
0.238399,18,6.150100,90
0.247249,19,6.989900,90
0.255445,20,6.143900,90
0.263300,21,5.510200,90
0.271606,22,6.534800,90
0.280900,23,6.791000,90
0.288428,24,6.966600,90
0.296591,25,6.505300,90
0.305423,26,7.073400,90
0.314354,27,7.491200,90
0.321710,28,6.467300,90
0.330650,29,7.224800,90
0.338164,30,6.869600,90
0.347934,31,7.869800,90
0.355158,32,6.526100,91
0.363172,33,6.329700,91
0.371774,34,6.923500,91
0.380995,35,7.087800,91
0.388428,36,6.853000,91
0.396794,37,6.734200,91
0.405413,38,6.979900,91
0.414805,39,7.361900,91
0.422235,40,6.637300,91
0.430613,41,6.661200,91
0.439172,42,7.715600,91
0.447497,43,6.488200,91
0.456237,44,5.218500,91
0.463731,45,6.882900,91
0.472454,46,6.929200,91
0.480630,47,7.248900,91
0.488252,48,7.050000,91
0.497365,49,7.165400,91
0.505857,50,6.688500,91
0.514162,51,6.467300,91
0.521812,52,6.684200,91
0.530204,53,6.919600,91
0.538687,54,6.390500,91
0.547802,55,7.499300,91
0.555659,56,6.354500,91
0.563702,57,5.808500,91
0.572526,58,7.121200,91
0.581210,59,7.683800,91
0.589089,60,6.136800,91
0.597537,61,6.542700,91
0.605382,62,7.210800,91
0.614256,63,6.814500,91
0.621904,64,6.619700,91
0.630363,65,6.893700,91
0.638919,66,6.466300,91
0.647774,67,8.159000,91
0.655967,68,6.388800,91
0.663700,69,7.139800,91
0.672229,70,6.624300,91
0.680978,71,7.816900,91
0.688486,72,6.985200,91
0.696856,73,6.752700,91
0.705787,74,7.166800,91
0.714064,75,7.780900,91
0.721845,76,6.838700,91
0.730315,77,6.688000,91
0.738904,78,6.771200,91
0.747510,79,8.047800,91
0.755503,80,6.313800,92
0.763944,81,6.231700,92
0.771946,82,6.229000,92
0.781252,83,6.962800,92
0.790824,84,6.033400,92
0.798352,85,6.516000,92
0.806046,86,7.102400,92
0.814274,87,6.400200,92
0.821964,88,6.886100,92
0.830647,89,4.967800,92
0.838633,90,7.026400,92
0.847911,91,7.710000,92
0.855374,92,6.780200,92
0.863156,93,7.045300,92
0.872235,94,6.337300,92
0.881016,95,7.891800,92
0.888550,96,6.980300,92
0.896708,97,6.324900,92
0.905214,98,6.824700,92
0.914174,99,6.732200,92
0.922232,100,7.083300,92
0.930188,101,6.211600,92
0.939028,102,6.960100,92
0.948125,103,7.529800,92
