realtime,framenum,rendertime(ms),GPUUtil(%)
0.189295,12,6.278900,79
0.214633,12,31.616100,79
0.214973,12,0.000600,79
0.215355,12,0.000300,79
0.220934,12,5.239200,79
0.230644,13,6.142600,79
0.238468,14,5.468000,79
0.246929,15,6.373400,79
0.254816,16,5.788400,79
0.264284,17,7.257300,82
0.275583,19,6.000400,82
0.281959,19,5.981100,82
0.289430,20,5.343700,82
0.298699,22,7.088600,82
0.305092,22,5.958000,82
0.314644,23,6.232400,82
0.322883,24,5.968700,82
0.332546,25,7.628000,82
0.340562,26,5.142600,82
0.348709,28,5.811200,82
0.355182,28,5.210100,82
0.365106,29,6.825600,82
0.372945,30,5.664300,82
0.381295,31,6.481300,82
0.389722,32,6.405900,82
0.397933,33,14.615400,82
0.406756,34,5.408600,82
0.414761,35,6.002700,82
0.422136,36,13.377100,82
0.431555,37,22.796900,82
0.439085,38,5.685600,82
0.447725,39,6.753400,82
0.456865,40,5.441400,82
0.465677,41,14.252900,81
0.478273,43,5.184800,81
0.484685,43,6.014800,81
0.493198,44,6.076100,81
0.501732,46,6.092900,81
0.507824,46,5.641200,81
0.516683,47,5.220300,81
0.526030,48,7.059000,81
0.534744,49,15.773500,81
0.542398,50,5.341200,81
0.550099,51,5.537200,81
0.560078,53,5.991600,81
0.566956,53,6.257900,81
0.575712,54,6.291900,81
0.584616,55,5.976100,81
0.592698,56,5.546600,81
0.600966,57,5.812400,81
0.609807,58,6.485500,81
0.617839,59,5.492800,81
0.626151,60,6.379400,81
0.634976,61,6.495800,81
0.642508,62,5.225300,81
0.653467,64,6.154800,81
0.659790,64,5.771100,81
0.668520,65,6.702500,79
0.675980,66,5.469900,79
0.684175,67,6.143100,79
0.692171,68,5.148400,79
0.700947,69,6.413800,79
0.707589,70,6.115100,79
0.717716,71,6.413400,79
0.726184,72,6.439600,79
0.734602,73,6.358700,79
0.742881,74,14.637400,79
0.751258,75,6.504200,79
0.760095,76,15.339000,79
0.768157,77,23.402700,79
0.775948,78,31.194000,79
0.783513,79,38.759300,79
0.793367,80,6.447900,79
0.801575,81,6.665700,79
0.809703,83,6.420600,79
0.816828,83,6.591100,79
0.826522,84,5.243400,79
0.834902,85,6.537200,79
0.842735,86,14.371100,79
0.850862,87,5.988000,79
0.860344,88,6.873500,79
0.868466,89,5.973300,81
0.879731,90,5.196200,81
0.889031,91,4.976000,81
0.896248,92,12.185700,81
0.903741,93,3.434600,81
0.910695,94,6.011800,81
0.918587,95,7.333100,81
0.928921,96,3.410500,81
0.936266,97,3.255700,81
0.943445,98,6.744800,81
0.952521,99,3.992200,81
0.961976,100,4.943700,81
0.969829,101,7.398800,81
0.978134,102,7.840100,81
0.985356,103,3.318200,81
0.994433,104,4.349300,81
1.002801,105,7.935600,81
1.009813,106,4.459800,81
1.020053,107,4.566200,81
1.027186,108,6.646800,81
1.036799,109,8.740300,81
1.043822,110,6.518000,81
1.052429,111,7.635700,81
1.060094,112,7.054800,81
1.070085,113,7.685400,63
1.076456,114,5.727000,63
1.084581,115,6.189200,63
1.093588,116,8.091700,63
1.101292,117,7.048400,63
1.111635,118,9.647600,63
1.119413,119,6.345200,63
1.129419,120,9.636600,63
1.134922,121,4.754400,63
1.144866,122,8.776600,63
1.152478,123,4.248800,63
1.159625,124,11.397900,63
1.167704,125,4.005700,63
1.176737,126,4.468800,63
1.184367,127,3.964000,63
1.193247,128,7.976200,63
1.201332,129,7.565700,63
1.211114,130,8.457600,63
1.218341,131,6.713400,63
1.226542,132,14.909700,63
1.234249,133,3.049900,63
1.243047,134,11.849100,63
1.252292,135,3.079000,63
1.260734,136,4.525500,63
1.268706,137,7.525300,66
1.276625,138,3.804200,66
1.285229,139,6.887600,66
1.293210,140,6.921700,66
1.302430,141,6.857300,66
1.311220,142,8.319900,66
1.318125,143,6.271300,66
1.327982,144,9.415700,66
1.334709,145,5.785100,66
1.343329,146,14.405200,66
1.351433,147,7.079500,66
1.361134,148,7.830800,66
1.368711,149,6.971100,66
1.377218,150,7.914700,66
1.384650,151,6.931000,66
1.394452,152,7.251800,66
1.401121,153,6.192200,66
1.410215,154,7.017500,66
1.417857,155,14.669500,66
1.429578,156,7.363600,66
1.437129,157,6.068900,66
1.444205,158,6.706400,66
1.451867,159,3.169900,66
1.460561,160,4.872500,66
1.469097,161,4.810000,64
1.477325,162,4.539700,64
1.485376,163,3.922400,64
1.494146,164,4.131900,64
1.502473,165,6.468200,64
1.510840,166,7.617800,64
1.517953,167,6.479000,64
1.528353,168,8.252700,64
1.536583,169,7.421500,64
1.544884,170,7.697800,64
1.553150,171,7.364300,64
1.560316,172,6.702000,64
1.568806,173,6.453600,64
1.577756,174,15.407100,64
1.585419,175,7.200400,64
1.594575,176,8.274200,64
1.602933,177,7.839200,64
1.610748,178,3.787400,64
1.619690,179,8.381500,64
1.627926,180,7.725800,64
1.637132,181,8.250000,64
1.645760,182,7.941600,64
1.652879,183,6.163600,64
1.661723,184,8.386700,64
1.669741,185,7.513100,65
1.677654,186,7.287600,65
1.686159,187,4.782400,65
1.694873,188,13.496500,65
1.702979,189,7.600700,65
1.710778,190,3.759300,65
1.719174,191,6.688300,65
1.729558,192,17.074700,65
1.736104,193,5.990600,65
1.744150,194,6.036600,65
1.753010,195,5.903700,65
1.761472,196,7.826700,65
1.771921,197,8.864200,65
1.779054,198,6.034400,65
1.786556,199,3.240800,65
1.795046,200,7.600300,65
1.803282,201,4.091000,65
1.811161,202,4.973100,65
1.819125,203,7.367700,65
1.827538,204,15.777900,65
1.835734,205,7.126600,65
1.844831,206,6.702600,65
1.854585,207,8.301700,65
1.863666,209,8.646000,70
1.869178,209,1.055700,70
1.878425,210,3.625400,70
1.887400,211,7.076600,70
