realtime,framenum,rendertime(ms),fps,GPUUtil(%)
0.170732,9,6.689000,0.000000,86
0.190310,9,0.000400,0.000000,86
0.190621,9,0.000400,0.000000,86
0.194597,9,3.672900,0.000000,86
0.202289,10,5.722700,0.000000,86
0.210897,11,5.986600,0.000000,86
0.219072,12,6.653700,0.000000,86
0.227360,13,5.872200,0.000000,86
0.236426,14,6.936500,0.000000,86
0.244081,16,4.833000,0.000000,86
0.252263,16,7.325800,0.000000,86
0.261091,17,6.730100,0.000000,86
0.269951,18,6.100500,0.000000,86
0.278126,19,5.771400,0.000000,86
0.286158,21,5.464600,0.000000,86
0.294056,21,7.282000,0.000000,86
0.302794,22,6.636400,0.000000,86
0.311142,23,6.476900,0.000000,86
0.320886,25,7.713200,0.000000,86
0.327899,25,6.134900,0.000000,86
0.335706,26,5.521000,0.000000,86
0.344007,27,13.820600,0.000000,86
0.353565,29,6.864400,0.000000,86
0.361130,30,6.935900,0.000000,87
0.369465,30,4.420600,0.000000,87
0.377565,31,6.345600,0.000000,87
0.386334,32,7.104100,0.000000,87
0.394581,33,6.181100,0.000000,87
0.403336,34,6.865100,0.000000,87
0.411650,35,5.999400,0.000000,87
0.420459,36,7.302100,0.000000,87
0.428995,37,6.329900,0.000000,87
0.436767,38,5.566100,0.000000,87
0.444394,40,5.159500,0.000000,87
0.452631,40,7.246300,0.000000,87
0.462045,42,5.832200,0.000000,87
0.469714,42,6.723800,0.000000,87
0.478530,43,4.854500,0.000000,87
0.487509,44,13.836500,0.000000,87
0.495513,46,7.450300,0.000000,87
0.502086,46,6.159900,0.000000,87
0.510966,47,6.290500,0.000000,87
0.519964,48,6.690700,0.000000,87
0.528615,49,5.854600,0.000000,87
0.536533,50,6.270300,0.000000,87
0.544333,51,6.065500,0.000000,87
0.553422,52,6.647300,0.000000,87
0.562383,53,7.097500,0.000000,86
0.572043,55,7.103800,0.000000,86
0.579031,56,6.483500,0.000000,86
0.586569,57,6.755300,0.000000,86
0.594139,57,6.925300,0.000000,86
0.602404,58,6.418300,0.000000,86
0.611447,59,4.950100,0.000000,86
0.620207,61,6.532200,0.000000,86
0.627350,61,6.122500,0.000000,86
0.636780,62,5.508600,0.000000,86
0.644425,63,7.207800,0.000000,86
0.653576,65,16.358900,0.000000,86
0.660905,65,6.729600,0.000000,86
0.669930,67,6.812300,0.000000,86
0.676764,67,6.190600,0.000000,86
0.686740,69,6.092800,0.000000,86
0.694325,69,6.947700,0.000000,86
0.702585,70,6.445600,0.000000,86
0.710977,71,5.712200,0.000000,86
0.720120,72,6.811000,0.000000,86
0.728368,73,5.542000,0.000000,86
0.736256,74,5.944500,0.000000,86
0.744196,75,5.861900,0.000000,86
0.753180,76,6.549200,0.000000,86
0.761351,77,6.214400,0.000000,87
0.772453,79,6.220500,0.000000,87
0.779235,80,6.228200,0.000000,87
0.787282,81,7.344700,0.000000,87
0.794394,81,6.486800,0.000000,87
0.802686,82,6.223000,0.000000,87
0.811688,83,6.591800,0.000000,87
0.821251,84,7.771200,0.000000,87
0.829524,85,5.534300,0.000000,87
0.837589,87,6.090800,0.000000,87
0.844463,87,6.314800,0.000000,87
0.853982,89,6.960600,0.000000,87
0.861183,89,6.671800,0.000000,87
0.869833,90,5.802300,0.000000,87
0.878382,91,6.845400,0.000000,87
0.887282,93,15.737600,0.000000,87
0.894614,93,6.726300,0.000000,87
0.902507,94,6.384400,0.000000,87
0.911178,95,5.864400,0.000000,87
0.919582,96,6.081600,0.000000,87
0.927999,97,6.011500,0.000000,87
0.936276,98,5.760000,0.000000,87
0.944702,99,6.211100,0.000000,87
0.953506,100,6.486600,0.000000,87
0.961293,101,5.760200,0.000000,86
0.971672,103,5.028000,0.000000,86
0.978379,103,6.045400,0.000000,86
