realtime,framenum,rendertime(ms),fps,GPUUtil(%)
1.003353,104,5.4084,60.020131,67
1.012631,105,3.7957,59.98546,67
1.020371,106,4.5714,60.002268,67
1.028324,107,4.5029,60.024562,68
1.036664,108,3.5174,59.968852,68
1.046176,109,4.911,59.923837,68
1.053923,110,4.1373,59.914011,68
1.062098,111,5.3248,59.984032,68
1.06972,112,12.943,59.914981,68
1.079473,113,3.1974,59.961457,68
1.087167,114,4.3316,59.920186,68
1.09529,115,5.0189,59.884949,68
1.104076,116,5.2975,59.924675,68
1.112735,117,5.9067,59.819298,68
1.120453,118,4.4381,59.955094,68
1.128984,119,2.5846,59.951355,68
1.138307,120,3.4158,59.765957,68
1.146041,121,4.9234,59.959168,68
1.153603,122,4.4942,59.993953,68
1.161771,123,2.7719,59.967582,68
1.170334,124,2.3901,59.99484,68
1.178746,125,5.4203,60.060782,68
1.186209,126,4.3679,60.11347,68
1.195316,127,2.9728,60.020143,68
1.20374,128,4.8519,59.946468,68
1.212747,129,5.8926,59.96673,68
1.219786,130,12.93,60.098766,68
1.227975,131,2.2398,60.0437,68
1.237052,132,3.8479,59.990533,68
1.245899,133,3.1123,60.039518,68
1.253109,134,3.084,59.998296,68
1.261527,135,2.5002,60.056802,68
1.269973,136,2.6253,60.059459,68
1.279607,137,3.2471,59.956292,68
1.286507,138,10.1457,60.09164,68
1.295168,139,5.0181,59.979391,68
1.303456,140,3.1147,59.968696,68
1.312548,141,3.713,59.992345,68
1.320449,142,4.6166,60.007669,68
1.327777,143,4.4575,60.276803,68
1.337377,144,3.5253,59.905027,68
1.346154,145,3.1814,59.98949,68
1.353657,146,3.2374,59.977988,68
1.361708,147,2.8046,59.995728,68
1.370605,148,5.6977,60.004236,68
1.379731,149,6.2795,59.971837,68
1.386296,150,3.3536,60.061311,68
1.395411,151,5.2065,60.018125,68
1.403511,152,4.7637,60.036418,68
1.412944,153,3.7211,59.987691,68
1.420455,154,4.1801,59.999556,68
1.428002,155,4.259,60.060084,68
1.437216,156,3.9242,59.942383,68
1.446,157,8.4178,60.017681,68
1.453528,158,4.2678,60.02455,68
1.46173,159,5.3654,60.032153,68
1.470235,160,5.4508,59.917326,68
1.478912,161,5.3788,60.02646,68
1.486549,162,4.5078,60.08052,68
1.495233,163,5.0839,59.993581,68
1.503629,164,3.1456,59.967917,68
1.512651,165,3.7102,60.032261,68
1.520661,166,4.7295,59.977604,68
1.528883,167,2.4817,59.964022,68
1.536499,168,4.5908,60.068201,68
1.546054,169,5.7551,60.013503,68
1.553909,170,4.0841,60.008677,68
1.562036,171,1.7233,59.981058,68
1.569951,172,4.6487,59.969416,68
1.579425,173,3.2657,60.004128,68
1.587209,174,4.5461,59.963063,68
1.595618,175,5.3512,59.993725,68
1.603673,176,2.9425,60.017105,68
1.612184,177,5.4968,60.098754,68
1.620629,178,5.4304,59.982161,68
1.628218,179,4.5108,60.063162,68
1.637453,180,4.5696,60.108616,68
1.646393,181,6.1282,59.997372,68
1.653784,182,4.0191,59.974163,68
1.662064,183,5.2913,59.992957,68
1.669817,184,4.5355,60.030532,68
1.678674,185,2.8469,59.867442,68
1.685983,186,4.6323,60.017621,68
1.695813,187,2.9445,59.912288,68
1.704285,188,2.9303,59.935461,68
1.712755,189,5.3739,59.931391,68
1.720673,190,4.8097,59.871205,68
1.729246,191,5.2036,59.851246,68
1.736465,192,3.9132,60.040215,68
1.745411,193,3.3388,59.931367,68
1.754612,194,3.4065,59.847628,68
1.762467,195,2.7419,59.831395,68
1.769811,196,4.0884,59.967462,68
1.778959,197,2.6347,59.995524,68
1.787184,198,5.3337,59.87375,68
1.796397,199,2.7405,59.851425,68
1.80404,200,4.8827,59.931965,68
1.812393,201,2.0535,59.899907,68
1.820737,202,1.8953,59.941605,68
1.829319,203,3.4333,59.799373,66
1.837277,204,4.3114,60.014836,66
1.845249,205,5.0822,60.001044,66
1.854337,206,4.1272,59.857611,66
1.862812,207,3.0987,59.898986,66
