realtime,framenum,rendertime(ms),GPUUtil(%)
0.147283,10,0.022300,89
0.172149,10,0.000500,89
0.172892,10,0.000200,89
0.173713,10,0.000400,89
0.180584,11,6.166000,89
0.189167,12,5.705100,89
0.198508,13,6.507200,89
0.206397,14,7.285400,89
0.214416,15,5.407800,89
0.222448,16,7.005000,89
0.232142,17,7.137900,89
0.239575,18,6.418200,89
0.247307,19,6.970900,89
0.255684,20,5.658600,89
0.264989,21,6.780800,89
0.272674,22,7.233500,89
0.280949,23,4.983500,89
0.289174,24,5.703100,89
0.298652,25,6.660100,89
0.306127,26,6.872900,89
0.314511,27,5.496200,89
0.322360,28,7.031100,89
0.331697,29,6.624300,89
0.339591,30,6.746600,89
0.347492,31,4.915600,89
0.355631,32,4.563000,92
0.364813,33,6.252800,92
0.372576,34,7.243400,92
0.380558,35,7.066200,92
0.389026,36,5.832000,92
0.398944,37,7.269700,92
0.406463,38,6.928200,92
0.415010,39,5.817700,92
0.422510,40,6.802400,92
0.431509,41,6.289100,92
0.439455,42,6.801600,92
0.447917,43,5.700600,92
0.455692,44,7.184900,92
0.464263,45,5.916400,92
0.472586,46,5.733900,92
0.481102,47,5.496600,92
0.495760,48,7.146300,92
0.503665,49,7.251400,92
0.511273,50,7.128800,92
0.519043,51,6.673100,92
0.526497,52,6.781700,92
0.534512,53,7.450400,92
0.542608,54,7.380300,92
0.550677,55,5.525700,92
0.558933,56,7.356100,91
0.567214,57,5.530400,91
0.576033,58,6.348000,91
0.584951,59,7.241900,91
0.593094,60,7.035200,91
0.602038,61,5.824300,91
0.609933,62,7.384100,91
0.617923,63,7.038800,91
0.626380,64,7.091200,91
0.634226,65,7.320700,91
0.642393,66,7.316300,91
0.651029,67,5.750200,91
0.659152,68,6.901600,91
0.667732,69,5.943400,91
0.675928,70,5.637400,91
0.685013,71,6.211400,91
0.693541,72,7.285400,91
0.702178,73,7.537200,91
0.709952,74,7.226000,91
0.718847,75,6.478000,91
0.726927,76,7.507400,91
0.734942,77,7.574100,91
0.743938,78,6.317600,91
0.751854,80,7.474200,96
0.760337,80,4.558100,96
0.767734,81,6.877800,96
0.775943,82,5.738500,96
0.783236,83,4.538700,96
0.791833,84,6.127500,96
0.799998,85,4.970400,96
0.808608,86,5.553800,96
0.815737,87,4.197800,96
0.825272,88,3.695600,96
0.833346,89,5.287200,96
0.841610,90,5.048000,96
0.850558,91,5.990600,96
0.858912,92,5.335100,96
0.867124,93,5.467600,96
0.875767,94,6.108500,96
0.884119,95,5.414400,96
0.892250,96,5.579200,96
0.900171,97,7.012300,96
0.908625,98,5.940000,96
0.916825,99,5.631100,96
0.925429,100,5.730700,96
0.934029,101,5.810800,96
0.942350,102,5.479600,96
0.950620,103,5.758100,96
0.958129,104,6.611200,87
0.966745,105,5.368300,87
0.975507,106,5.958300,87
0.984126,107,5.607000,87
0.991883,108,7.208400,87
1.000598,109,5.556900,87
1.009124,110,5.589000,87
1.018195,111,6.657700,87
1.025776,112,6.921500,87
1.034398,113,5.841800,87
1.042650,114,5.564600,87
1.051187,115,5.594800,87
1.059112,116,7.013700,87
1.067703,117,5.589800,87
1.075746,118,7.481900,87
1.084057,119,5.448800,87
1.092362,120,5.724700,87
1.101372,121,7.941100,87
1.109457,122,5.355300,87
1.117623,123,5.513700,87
1.126068,124,7.416500,87
1.135289,125,6.172000,87
1.143033,126,6.906100,87
1.151939,127,5.252900,92
1.159334,128,6.061100,92
1.168292,129,6.091500,92
1.176054,130,7.181200,92
1.184111,131,5.258500,92
1.192716,132,5.860400,92
1.201259,133,7.575400,92
1.209442,134,5.517200,92
1.218059,135,5.679900,92
1.226168,136,4.722200,92
1.235554,137,6.580400,92
1.245584,138,7.105900,92
1.254581,140,8.518800,92
1.263617,141,8.104900,92
1.272784,142,8.684600,92
1.281483,143,7.856000,92
1.290419,144,8.350600,92
1.299419,145,8.159000,92
1.308430,146,8.419000,92
1.317340,147,8.460600,92
1.326518,148,8.551900,92
1.335853,149,8.808600,92
1.344788,150,8.356200,92
1.353395,151,8.132200,97
1.362427,152,6.910700,97
1.371259,153,8.336400,97
1.379477,154,7.285200,97
1.388532,155,8.162600,97
1.397132,156,8.050900,97
1.405634,157,7.920700,97
1.413891,158,7.798900,97
1.422252,159,7.490100,97
1.430748,160,8.018500,97
1.439244,161,7.495100,97
1.447301,162,7.513100,97
1.455128,163,7.301300,97
1.463316,164,7.548700,97
1.471147,165,7.348800,97
1.478960,166,6.726800,97
1.486633,167,7.109500,97
1.494449,168,7.355900,97
1.502617,169,7.599000,97
1.510430,170,7.396400,97
1.518001,170,6.751300,97
1.525659,171,7.020300,97
1.533716,172,7.617500,97
1.541289,173,6.401100,97
1.548887,174,7.090500,97
1.556707,175,7.347600,99
1.564820,176,5.099200,99
1.573236,177,5.523200,99
1.581501,178,7.155800,99
1.589604,179,5.373600,99
1.598146,180,5.790200,99
1.606421,181,5.054000,99
1.615075,182,6.212200,99
1.623066,183,7.213500,99
1.631483,184,5.554700,99
1.640113,185,7.586800,99
1.647913,186,7.146100,99
1.656158,187,5.771600,99
1.665993,188,7.091900,99
1.673990,189,7.569700,99
1.681531,190,6.688900,99
1.689759,191,5.332900,99
1.698118,192,5.682500,99
1.706332,193,4.839900,99
1.714749,194,5.600400,99
1.723097,195,5.462000,99
1.731352,196,5.711800,99
1.739729,197,7.163800,99
1.747887,198,5.180500,99
1.756231,199,5.011800,91
1.764544,200,5.343100,91
1.772895,201,5.711200,91
1.781535,202,5.326700,91
1.789586,203,5.376200,91
1.797798,204,5.586500,91
1.806359,205,5.113500,91
1.814440,206,5.215400,91
1.822756,207,5.473100,91
1.831252,208,5.954300,91
1.839535,209,5.212500,91
1.847724,210,5.303600,91
1.856174,211,5.778900,91
1.864616,212,5.550000,91
1.872942,213,5.850400,91
1.881544,214,5.432800,91
1.889173,215,5.068100,91
1.897349,216,5.729700,91
1.906085,217,5.934900,91
1.914295,218,5.622900,91
1.922708,219,5.502400,91
1.931207,220,5.865700,91
1.939448,221,7.158100,91
1.947676,222,5.229100,91
1.955967,223,5.678500,88
1.964513,224,5.703900,88
1.973037,225,6.021400,88
1.981237,226,7.120000,88
1.989471,227,5.464200,88
1.997748,228,5.727500,88
2.006219,229,5.700800,88
2.014439,230,5.398000,88
2.022674,231,5.124700,88
2.031224,232,5.666000,88
2.039418,233,4.846200,88
2.047932,234,5.237300,88
2.055979,235,4.721500,88
2.064450,236,5.733200,88
2.072900,237,5.671000,88
2.081003,238,4.750000,88
2.089698,239,5.954500,88
2.097890,240,5.099500,88
2.106203,241,4.866100,88
2.114472,242,5.629700,88
2.122587,243,5.233200,88
2.131197,244,5.836300,88
2.139870,245,5.497100,88
2.147722,246,4.792300,88
