realtime,framenum,rendertime(ms),GPUUtil(%)
0.149192,10,0.033400,89
0.174637,10,0.000500,89
0.175011,10,0.000400,89
0.176257,10,0.928200,89
0.183500,11,6.584000,89
0.193147,12,7.580100,89
0.200875,13,5.783400,89
0.208805,14,5.198700,89
0.217565,15,6.649400,89
0.225915,16,6.589900,89
0.233787,17,5.972300,89
0.242749,18,5.892800,89
0.249870,19,6.247600,89
0.259780,20,5.946100,89
0.267389,21,7.085500,89
0.274997,22,5.659000,89
0.283402,23,6.551700,89
0.292874,24,7.447500,89
0.300225,25,6.790500,89
0.308695,26,4.838800,89
0.316881,27,6.504100,89
0.326456,28,7.641300,87
0.334121,29,7.106100,87
0.341747,30,5.867000,87
0.349913,31,6.028300,87
0.363372,32,6.461800,87
0.370737,33,6.400700,87
0.378082,34,6.821400,87
0.385431,35,6.849300,87
0.393030,36,6.970600,87
0.401630,37,6.707000,87
0.409514,38,6.882100,87
0.417559,39,6.117100,87
0.426195,40,6.746700,87
0.434516,41,6.462200,87
0.443003,42,6.472800,87
0.452032,43,6.681900,87
0.459398,44,6.744800,87
0.467668,45,6.607000,87
0.475758,46,6.114400,87
0.484152,47,6.494800,87
0.492792,48,6.630200,87
0.501937,49,6.838000,87
0.508887,50,5.872000,87
0.517857,51,5.677400,87
0.526700,52,7.005600,88
0.534799,53,6.103300,88
0.543295,54,6.988500,88
0.551045,55,6.931700,88
0.560781,56,6.959600,88
0.568433,57,6.927200,88
0.577036,58,6.977100,88
0.584621,59,6.990100,88
0.593175,60,6.351000,88
0.601087,61,6.193700,88
0.609279,62,5.439800,88
0.617648,63,6.809900,88
0.626388,64,7.036700,88
0.635683,65,6.965300,88
0.643151,66,6.974200,88
0.651486,67,6.110500,88
0.660856,68,6.973300,88
0.669817,69,7.147500,88
0.677398,70,7.022600,88
0.685261,71,5.932300,88
0.693552,72,6.739700,88
0.701971,73,6.651800,88
0.709632,74,6.536300,88
0.719020,75,6.955700,88
0.730520,76,6.536300,91
0.738409,77,7.327200,91
0.746290,78,7.464200,91
0.754289,79,7.416800,91
0.762174,80,7.384700,91
0.770699,81,7.410700,91
0.778762,82,7.503500,91
0.786909,83,7.651100,91
0.795054,84,7.567900,91
0.803190,85,7.627100,91
0.811000,86,6.874400,91
0.818480,87,6.973200,91
0.826459,88,7.383500,91
0.834913,89,6.618400,91
0.843367,90,6.555500,91
0.851198,91,6.956900,91
0.860122,92,7.265100,91
0.868294,93,6.454000,91
0.876090,94,7.204400,91
0.884882,95,6.950900,91
0.892877,96,7.318000,91
0.901571,97,7.224700,91
0.909905,98,7.203100,91
0.917939,99,6.499800,91
0.926717,100,6.842800,95
0.934889,101,7.588400,95
0.943060,102,6.654300,95
0.951269,103,7.215000,95
0.959778,104,6.833200,95
0.968440,105,6.997500,95
0.977022,106,6.560500,95
0.984825,107,7.237300,95
0.993826,108,7.118500,95
1.001543,109,7.295200,95
1.009939,110,6.313600,95
1.018072,111,6.483500,95
1.026574,112,6.655700,95
1.034623,113,7.437100,95
1.043148,114,6.717400,95
1.051578,115,6.139300,95
1.060415,116,6.447100,95
1.068131,117,7.040600,95
1.076250,118,6.192200,95
1.084790,119,6.896200,95
1.093852,120,6.938000,95
1.102615,121,7.605100,95
1.110324,122,6.847200,95
1.117782,123,6.942700,95
1.126240,124,6.687900,93
1.135452,125,7.040000,93
1.143021,126,7.091000,93
1.151080,127,7.073700,93
1.159882,128,7.079200,93
1.168752,129,7.029000,93
1.176433,130,7.013100,93
1.184896,131,6.559200,93
1.193697,132,6.799600,93
1.201560,133,7.384300,93
1.209999,134,5.908800,93
1.217830,135,7.211200,93
1.226672,136,6.974600,93
1.235073,137,6.553300,93
1.243373,138,6.325500,93
1.251504,139,7.254700,93
1.260102,140,7.054400,93
1.268468,141,6.765000,93
1.277206,142,7.104900,93
1.285217,143,6.947400,93
1.292865,144,7.033100,93
1.301857,145,7.227000,93
