realtime,framenum,rendertime(ms),fps,GPUUtil(%)
0.186230,12,180.377700,473.602950,84
0.214691,12,0.000500,337.897579,84
0.215040,12,0.000300,337.897579,84
0.215359,12,0.000200,337.897579,84
0.219544,13,3.840900,337.897579,84
0.226551,13,6.559900,308.348220,89
0.234466,14,4.800900,285.170289,89
0.242883,15,5.084100,264.584796,89
0.252217,17,6.346000,231.028694,89
0.259173,17,6.424600,231.028694,89
0.267963,18,5.396000,216.561310,89
0.276863,19,5.719900,203.323664,89
0.285634,21,5.513200,193.094304,89
0.292796,21,6.257100,183.672382,89
0.301870,22,6.148300,173.838167,89
0.310457,23,5.247600,165.771592,89
0.318954,25,5.258400,158.657210,89
0.325943,25,6.497400,152.551500,89
0.334980,26,5.903200,145.773091,89
0.342993,27,4.730600,140.424193,89
0.352436,29,5.753000,135.042673,89
0.359407,29,6.439100,130.345354,89
0.368549,30,5.889400,125.380268,89
0.376600,31,4.660900,121.304607,89
0.385327,32,5.473000,117.577757,89
0.393656,34,4.712600,113.466937,89
0.400574,34,6.377200,110.495813,89
0.409585,35,6.452800,107.030552,89
0.419007,36,6.369100,103.999076,89
0.426904,37,4.741600,100.813294,87
0.435135,38,4.480800,98.087939,87
0.443385,39,5.733200,95.631063,87
0.452286,40,5.515100,93.067553,87
0.460165,41,13.394100,90.670463,87
0.468110,42,7.435700,88.551240,87
0.476452,43,5.440700,86.421137,87
0.486153,44,6.819600,84.343369,87
0.494230,46,5.375000,82.207074,87
0.501262,46,6.524500,80.656327,87
0.510414,47,6.319000,78.726644,87
0.519107,49,8.205500,75.660402,87
0.526100,49,6.356600,75.660402,87
0.534928,50,4.963300,73.958553,87
0.543222,51,5.744500,72.483675,87
0.553149,53,6.147800,69.750426,87
0.560119,53,6.379000,69.750426,87
0.568184,54,14.445700,68.356438,87
0.576806,55,5.889700,67.039526,87
0.585919,56,6.500200,65.811209,87
0.594183,58,7.581800,63.604438,87
0.601137,58,6.488600,63.604438,87
0.610047,59,6.084500,62.405897,87
0.619258,61,5.773100,60.427440,87
0.626242,61,6.456000,60.427440,88
0.634724,62,5.722600,59.974487,88
0.642830,63,4.774400,60.036779,88
0.652013,64,5.490300,60.215632,88
0.660092,65,5.046900,60.123072,88
0.668246,66,5.153200,60.079136,88
0.676042,67,4.894600,60.174796,88
0.685828,68,6.605700,60.126566,88
0.694193,70,5.469800,59.864359,88
0.701387,70,12.664700,60.109532,88
0.709795,71,5.466200,60.129302,88
0.719116,73,6.281400,60.092145,88
0.726129,73,6.340200,60.092145,88
0.734829,74,5.491500,59.949067,88
0.743242,75,5.389100,59.945318,88
0.752820,77,8.667600,59.954626,88
0.759809,77,6.499700,59.954626,88
0.767895,78,4.925800,60.001176,88
0.776263,79,5.261500,60.102547,88
0.785333,80,6.244500,59.988578,88
0.793639,81,5.425300,59.885355,88
0.801754,82,4.966500,60.018089,88
0.810103,83,4.854600,60.025655,88
0.819313,84,6.621400,60.037824,88
0.827588,85,14.897100,59.851090,87
0.835479,86,4.769500,59.959419,87
0.843587,87,7.672800,59.935162,87
0.852577,89,5.666200,60.047462,87
0.859582,89,6.394400,60.047462,87
0.868105,90,5.858000,60.058172,87
0.876642,91,5.833700,60.014836,87
0.885882,92,6.121300,59.978372,87
0.893877,93,4.888700,59.977353,87
