realtime,framenum,rendertime(ms),GPUUtil(%)
4.088604,235,7.360000,53
4.103782,236,5.018800,53
4.121796,237,7.007000,50
4.137481,238,5.187200,50
4.155047,239,7.743200,50
4.171726,240,6.412900,50
4.187791,241,6.453400,50
4.204537,242,6.684300,50
4.220848,243,8.037900,50
4.236926,244,5.546500,50
4.254203,245,7.304600,50
4.270493,246,6.080200,50
4.287233,247,6.798400,50
4.303688,248,6.201200,50
4.321012,249,7.047500,50
4.339035,250,7.558000,50
4.354482,251,7.963400,50
4.370987,252,6.440100,50
4.387614,253,6.551600,50
4.404774,254,6.707200,50
4.420616,255,5.542500,50
4.438576,256,7.418100,50
4.454208,257,6.023200,50
4.470007,258,5.319300,50
4.487518,259,7.312900,50
4.503993,260,6.271200,50
4.520242,261,6.013500,52
4.539019,262,8.260200,52
4.555437,263,9.156700,52
4.572020,264,5.719400,52
4.589821,265,8.018800,52
4.604301,266,7.469200,52
4.622473,267,7.634500,52
4.637024,268,7.167800,52
4.655782,269,8.873600,52
4.675929,270,6.036300,52
4.689371,271,6.448600,52
4.708251,272,8.306600,52
4.721344,273,6.390000,52
4.738056,274,6.084300,52
4.754551,275,6.063200,52
4.771905,276,6.899500,52
4.791003,277,8.973600,52
4.806067,278,8.512500,52
4.823554,279,6.978900,52
4.837975,280,7.886300,52
4.854406,281,6.303900,52
4.871300,282,6.652400,52
4.888458,283,6.805800,52
4.907546,284,8.886900,52
4.921181,285,7.017200,53
4.937399,286,5.683400,53
4.954122,287,6.399300,53
4.970671,288,6.430600,53
4.988342,289,7.589100,53
5.005201,290,6.915200,53
5.021765,291,6.483900,53
5.056307,293,24.457500,53
5.065250,293,8.792100,53
5.074159,294,8.757000,53
5.087950,295,7.036900,53
5.103930,296,5.504400,53
5.120706,297,5.750500,52
5.137701,298,7.222500,52
5.154664,299,6.665200,52
5.219345,301,54.317400,52
5.228564,302,9.063400,52
5.237499,302,8.784000,52
5.246549,304,8.895100,52
5.255739,305,9.010800,52
5.264623,305,8.672800,52
5.276955,306,9.078500,52
5.350502,308,63.591400,43
5.387953,309,8.728800,43
5.397512,310,9.323600,43
5.457657,311,59.886300,43
5.577883,312,60.094800,46
5.698100,312,60.117000,46
5.821837,313,60.125500,6
5.983588,314,60.085300,5
6.142644,315,60.163000,5
6.262942,316,60.350600,5
6.492006,318,34.560700,11
6.552111,319,59.951100,5
6.587080,319,9.580100,5
6.597729,321,10.498400,5
6.607510,321,9.626900,5
6.617209,322,9.360700,5
6.676797,324,59.429800,5
6.686249,324,9.294700,5
6.696038,326,9.633600,5
6.705380,327,9.184500,5
6.714785,328,9.255000,5
6.724348,328,9.410600,27
6.736703,329,8.941100,27
6.754144,330,7.015900,27
6.784624,332,23.471900,27
6.793976,332,9.206000,27
6.803526,333,9.400500,27
6.818740,334,8.522900,27
6.835706,335,9.179900,27
6.852886,336,6.607000,27
6.869356,337,9.544300,27
6.939982,339,63.582700,56
6.963113,339,9.344000,56
6.972542,341,9.270800,56
6.981947,342,9.256800,56
6.991637,343,9.536100,56
7.052267,344,60.463700,56
7.172488,345,60.048300,46
7.213762,346,9.345100,46
7.223237,346,9.318500,46
7.233823,347,7.295200,46
7.249207,348,8.652500,46
7.312827,350,63.396800,46
7.422394,351,59.754000,9
7.464943,352,9.308200,9
7.474670,352,9.577600,9
7.484641,353,6.602000,9
7.497791,354,9.734700,9
7.553939,356,55.822500,26
7.563523,356,9.433900,26
7.573208,358,9.534200,26
7.582774,359,9.416000,26
7.592070,360,8.915800,26
7.601600,360,9.380300,26
7.613287,361,8.478800,26
7.630325,362,6.966300,26
7.703541,364,63.664200,26
7.722957,365,9.312400,51
7.732396,366,9.282800,51
7.742049,367,9.462100,51
7.802259,368,60.050700,51
7.820463,369,9.144100,51
7.829978,370,9.356200,51
7.839567,371,9.438500,51
7.849247,372,9.533400,51
7.858805,372,9.405700,51
7.869969,373,7.695500,51
7.943994,375,63.667800,31
7.977072,376,9.459500,31
7.986473,377,9.246900,31
8.046841,378,60.200300,31
8.072000,379,9.282900,31
8.082019,380,9.863800,31
8.091317,381,9.170400,31
8.100934,381,9.464900,31
8.110444,382,9.356500,31
8.123816,383,9.957200,48
8.165146,385,34.770800,48
8.174714,386,9.411900,48
8.184159,387,9.276000,48
8.193532,387,9.220100,48
8.205090,388,8.112100,48
8.223505,389,8.007100,48
8.238268,390,7.746000,48
8.256341,391,7.782000,48
8.274400,392,11.323500,48
8.288782,393,7.690200,48
8.304947,394,8.838000,48
8.322377,395,7.244900,48
8.339095,396,9.423400,53
8.356842,397,7.145700,53
8.374069,398,10.355300,53
8.389097,399,8.366300,53
8.404997,400,9.247900,53
8.421709,401,6.445300,53
8.438456,402,7.136900,53
8.455822,403,6.986600,53
8.472532,404,9.659200,53
8.488331,405,8.465100,53
8.505687,406,7.287900,53
8.534366,408,21.967400,55
8.543850,408,9.326100,55
8.555123,409,8.157000,55
8.571886,410,6.392500,55
8.589373,411,7.374400,55
8.605009,412,8.481500,55
8.622942,413,7.842300,55
8.640704,414,10.648500,55
8.655516,415,7.910100,55
8.673705,416,7.554400,55
8.688863,417,8.180800,55
8.704745,418,8.546400,55
8.722328,419,7.117100,55
8.740826,420,7.095100,54
8.755830,421,8.083800,54
8.771748,422,8.974400,54
8.787957,423,6.158400,54
8.804839,424,6.527900,54
8.821964,425,6.627900,54
8.839790,426,7.432900,54
8.855405,427,9.015300,54
8.874194,428,7.712000,54
8.908197,430,27.173900,54
8.917497,430,9.042800,54
8.926920,431,9.267400,55
8.939053,432,9.048100,55
8.956061,433,9.362500,55
8.971858,434,8.790400,55
8.988434,435,6.335300,55
9.006806,436,8.196200,55
9.022718,437,8.373100,55
9.038257,438,8.601900,55
9.055491,439,6.817200,55
9.072201,440,5.982500,55
9.089600,441,6.379400,55
9.106596,442,6.819800,55
9.123850,443,10.597700,55
9.140127,444,9.364000,54
9.155235,445,8.452100,54
9.171661,446,6.368100,54
9.188990,447,7.664200,54
9.206183,448,6.300900,54
9.223118,449,6.722400,54
9.239159,450,9.038800,54
9.255023,451,8.611000,54
9.272139,452,6.720100,54
9.288488,453,6.056300,54
9.305191,454,6.236400,54
9.322634,455,7.155800,54
9.340873,456,10.874300,54
9.355960,457,8.923100,54
9.372286,458,5.729500,54
9.388432,459,9.369900,54
9.405890,460,7.794200,54
9.421930,461,9.022200,54
9.440688,462,8.571700,54
9.455962,463,8.335800,54
9.474205,464,8.044200,54
9.488950,465,7.798200,54
9.505421,466,9.231200,54
9.521840,467,5.623100,54
9.538734,468,6.509200,55
9.558848,469,9.093600,55
9.571882,470,5.620500,55
9.590162,471,7.890200,55
9.607070,472,10.278100,55
9.622153,473,8.354000,55
9.638396,474,6.089900,55
9.656134,475,6.797600,55
9.671555,476,8.689600,55
9.689371,477,7.969100,55
9.704697,478,8.277000,55
9.722475,479,7.048100,55
9.738775,480,8.791300,57
9.758379,481,9.413300,57
9.772588,482,7.599300,57
9.790589,483,10.458200,57
9.806183,484,8.659500,57
9.821396,485,8.359500,57
9.839633,486,8.088400,57
9.857301,487,10.723700,57
9.872146,488,7.565000,57
9.888369,489,6.271900,57
9.905173,490,7.058400,57
9.921481,491,5.346500,57
9.940429,492,8.769000,56
9.955353,493,8.198400,56
9.972418,494,6.240300,56
9.990630,495,10.959600,56
10.007716,496,10.952500,56
10.023127,497,8.627800,56
10.040160,498,10.147600,56
10.056134,499,9.104500,56
10.073988,500,10.661800,56
10.089510,501,8.923700,56
10.106492,502,6.413500,56
10.121995,503,8.861200,56
10.141231,504,9.118700,57
10.155965,505,7.836700,57
10.173817,506,11.089900,57
10.188586,507,7.913400,57
10.207006,508,8.323700,57
10.221906,509,8.208500,57
10.240268,510,8.052000,57
10.255365,511,8.134600,57
10.274890,512,8.644500,57
10.289535,513,7.742400,57
10.307376,514,10.978900,57
10.321588,515,7.302500,57
10.337781,516,6.478400,57
10.356608,517,8.282200,57
10.371877,518,8.555300,57
10.389080,519,6.711300,57
10.405561,520,9.481000,57
10.424015,521,7.638800,57
10.438613,522,7.690100,57
10.457003,523,8.055900,57
10.471972,524,8.018400,57
10.490340,525,7.866500,57
10.505553,526,8.564500,57
10.524476,527,7.984500,57
10.538968,528,7.466500,56
10.557711,529,8.991700,56
10.571760,530,7.211600,56
10.590466,531,8.898800,56
10.604830,532,7.743200,56
10.622259,533,7.148000,56
10.638308,534,8.651300,56
10.657709,535,9.544100,56
10.671839,536,7.183500,56
10.689414,537,7.703700,56
10.705427,538,5.673200,56
10.723527,539,7.260700,56
10.739620,540,9.272800,57
10.757112,541,10.801000,57
10.772313,542,8.485200,57
10.790240,543,10.340400,57
10.804714,544,7.881400,57
10.821892,545,7.030200,57
10.839140,546,7.265900,57
10.855080,547,8.675000,57
10.872593,548,7.165300,57
10.888548,549,8.607100,57
10.905468,550,9.502800,57
10.921637,551,9.004400,57
10.938802,552,7.300200,57
10.954816,553,5.793400,57
10.973985,554,8.833300,57
10.988497,555,7.833300,57
11.007360,556,8.671400,57
11.022023,557,7.822800,57
11.039060,558,6.847400,57
11.055506,559,9.220700,57
11.071471,560,9.005800,57
11.091699,561,9.915300,57
11.104996,562,6.686900,57
11.122526,563,7.217800,57
11.137939,564,8.121700,56
11.158229,565,9.879000,56
11.171597,566,6.730300,56
11.190408,567,8.504000,56
11.204706,568,7.268500,56
11.221666,569,6.244900,56
11.238581,570,6.632900,56
11.254536,571,5.570300,56
11.273687,572,8.696800,56
11.288029,573,7.522900,56
11.305826,574,7.318300,56
11.321624,575,8.927400,56
11.339440,576,7.402500,56
11.354681,577,8.270600,56
