realtime,framenum,rendertime(ms),fps,GPUUtil(%)
0.199807,6,6.574400,460.915162,42
0.216906,6,0.000700,370.035967,42
0.231065,7,5.303500,310.299781,42
0.247313,8,4.859700,265.215877,42
0.264248,9,7.049600,231.242923,42
0.281103,10,8.860600,204.496468,42
0.297390,11,4.130700,184.070649,42
0.314506,12,4.197600,166.145892,42
0.330554,13,5.210500,152.809089,42
0.347681,14,6.162900,140.581925,42
0.364914,15,7.697100,130.074589,42
0.381560,16,7.215600,121.322807,39
0.397345,17,6.996400,114.007579,39
0.414738,18,4.350600,106.980133,39
0.430866,19,8.111700,101.140255,39
0.448231,20,8.702800,95.576344,39
0.464633,21,4.480500,90.802907,39
0.481210,22,8.543400,86.474670,39
0.497671,23,8.122000,82.557999,39
0.514472,24,3.911700,78.824858,39
0.531133,25,5.051500,75.591294,39
0.548490,26,8.377700,72.419197,39
0.564514,27,7.375900,69.748496,39
0.580478,28,4.823400,67.210233,38
0.597239,29,2.643400,64.788296,38
0.614622,30,5.991300,62.464968,38
0.631129,31,4.004800,60.380700,38
0.647683,32,5.054400,58.408360,38
0.663822,33,6.674300,56.647424,38
0.681069,34,5.378800,54.865520,38
0.697332,35,4.692100,53.277101,38
0.714809,36,6.152800,51.671237,38
0.730913,37,6.738700,50.277161,38
0.748550,38,7.343200,48.829627,38
0.764729,39,7.486400,47.585670,38
0.781095,40,2.861000,46.358852,38
0.797598,41,5.272900,45.226181,38
0.814678,42,7.533700,44.090596,38
0.831204,43,6.857200,43.049062,38
0.847300,44,6.933300,42.071028,38
0.864672,45,4.249000,41.077833,38
0.883997,46,2.584500,40.009864,38
0.898495,47,8.574800,39.271431,38
0.914359,48,6.923000,38.448693,38
0.931441,49,8.476500,37.637528,38
0.947809,50,5.057800,36.876533,38
0.964600,51,5.130500,36.130688,38
0.981349,52,2.854200,35.405194,39
0.998017,53,8.236300,34.730238,39
1.014666,54,7.347300,34.076392,39
1.031266,55,3.246400,33.445938,39
1.047992,56,4.446800,32.822606,39
1.064520,57,7.326900,32.249985,39
1.082333,58,6.628500,31.646494,39
1.098949,59,8.200400,31.108786,39
1.116207,60,5.454700,30.553949,39
1.132591,61,21.838100,30.049212,39
1.149110,62,3.273200,29.969587,39
1.165779,63,7.066000,29.967222,39
1.182182,64,7.434200,30.011269,39
1.199072,65,4.428100,30.008594,39
1.216026,66,4.572700,29.979638,39
1.232868,67,5.594500,29.949152,39
1.249685,68,7.899100,29.930925,39
1.265297,69,3.481100,29.961398,39
1.282828,70,8.947500,29.946584,39
1.299609,71,4.682400,29.935564,39
1.316156,72,4.257800,29.960018,39
1.331820,73,3.944400,29.966917,39
1.348279,74,7.871900,29.982613,39
1.365280,75,4.845000,29.990649,39
1.382655,76,8.745700,29.970692,39
1.399481,77,5.519800,29.937030,39
1.416122,78,8.153100,29.957514,39
1.432639,79,7.153800,29.955764,39
1.448945,80,7.441200,29.978386,39
1.466098,81,4.523700,29.956303,39
1.482663,82,5.084200,29.958627,39
1.500227,83,3.131800,29.934742,39
1.516061,84,8.931100,29.965477,39
1.534018,85,3.879100,29.938169,39
1.548826,86,6.172500,29.999376,39
1.566290,87,8.601100,29.958095,39
1.582303,88,8.581300,29.954963,39
1.599254,89,5.531300,29.948895,39
1.616046,90,8.298300,29.964202,39
1.632636,91,7.367900,29.968958,39
1.650024,92,5.739200,29.943784,39
1.665888,93,4.582800,29.945054,39
1.682495,94,4.542200,29.964773,39
1.699095,95,4.592900,29.962843,39
1.716143,96,4.637200,29.967779,39
1.731678,97,4.139900,29.984789,39
1.749213,98,3.190500,29.990946,39
1.764684,99,3.610800,30.007151,39
1.782104,100,3.949200,29.978760,40
1.798278,101,4.612100,29.986698,40
1.815064,102,5.530300,29.989138,40
1.831467,103,3.952400,29.993764,40
1.849203,104,3.200400,29.945164,40
1.864580,105,3.581400,30.004267,40
1.881984,106,3.676500,30.062413,40
1.898364,107,4.503700,29.998608,40
1.914576,108,5.197300,29.992304,40
1.931771,109,3.840000,29.988005,40
1.948480,110,4.998800,29.981882,40
1.965181,111,5.460400,29.984918,40
1.982017,112,4.583300,29.989462,38
1.998148,113,4.207600,29.998887,38
2.014966,114,4.992000,29.995972,38
2.032869,115,5.310400,29.959884,38
2.048912,116,4.390800,29.983176,38
2.065760,117,5.205700,29.966866,38
2.082548,118,4.940200,29.997594,38
2.099173,119,3.045900,29.991977,38
2.115621,120,7.497600,30.020062,38
2.131888,121,4.743700,30.024440,38
2.149766,122,5.542300,29.981996,38
2.165663,123,4.420800,30.013984,38
2.181365,124,3.620200,30.016080,38
2.198955,125,5.684300,30.019215,38
2.215177,126,4.885000,30.028674,38
2.231884,127,3.544800,30.025236,38
2.249111,128,5.293400,30.019732,38
2.264862,129,4.022100,30.016557,38
2.282141,130,4.734600,30.022334,38
2.299516,131,5.627800,30.005842,38
2.316366,132,5.441400,29.996328,38
2.331810,133,6.358200,29.997162,38
2.348796,134,5.294600,29.986575,38
2.365377,135,4.879100,29.998890,38
2.382554,136,4.542200,30.001119,39
2.399068,137,8.530300,30.023695,39
2.415544,138,3.989400,30.025236,39
2.432505,139,4.921300,30.005035,39
2.448727,140,7.648500,30.008345,39
2.465379,141,5.275800,30.026306,39
2.482245,142,4.589400,30.013653,39
2.499468,143,5.302300,30.021117,39
2.515662,144,7.477200,30.016161,39
2.532316,145,5.122900,30.042676,39
2.549269,146,5.547700,29.984198,39
2.565745,147,7.483500,30.010834,39
2.582438,148,4.836700,29.992301,39
2.599295,149,5.209100,29.992859,39
2.615311,150,4.180000,30.018026,39
2.632102,151,4.983600,30.007010,39
2.649256,152,5.614800,30.019741,39
2.665614,153,3.959800,30.012086,39
2.682197,154,3.996600,30.006178,39
2.698716,155,5.005800,30.000717,39
2.716310,156,4.973500,29.992781,39
2.732697,157,5.316700,29.965139,39
2.749678,158,3.805800,29.989108,39
2.766461,159,5.560500,29.951497,38
2.785173,160,3.714000,29.912807,38
2.799094,161,5.140000,29.978215,38
2.815532,162,5.538000,29.988856,38
2.833331,163,4.771900,29.953055,38
2.849612,164,4.501100,29.995567,38
2.866102,165,4.999800,29.952750,38
2.882164,166,3.511500,29.999079,38
2.899115,167,5.861600,29.984477,38
2.915839,168,5.568200,29.971141,38
2.932631,169,4.896600,29.975789,38
2.948811,170,4.565900,29.989776,38
2.966488,171,4.942900,29.978886,39
2.982638,172,3.917000,29.984267,39
2.999101,173,4.838700,29.971668,39
3.015401,174,5.130100,29.987453,39
3.032030,175,4.650200,30.021108,39
3.049304,176,3.631300,29.988913,39
3.065758,177,5.058200,30.000579,39
3.082567,178,5.320700,29.996979,39
3.099403,179,5.657900,29.994931,39
3.116774,180,5.419800,29.965477,39
3.132469,181,4.123300,29.984264,39
3.149258,182,5.387800,30.016314,39
3.167055,183,5.401500,29.961799,38
3.185260,184,4.054500,29.898274,38
3.199148,185,4.458000,29.984528,38
3.215888,186,4.304700,29.981013,38
3.232560,187,4.983800,29.988344,38
3.249008,188,4.915600,30.005044,38
3.265826,189,4.510300,29.970841,38
3.283868,190,5.478700,29.940180,38
3.300119,191,3.736200,29.990889,38
3.315860,192,4.440600,30.018017,38
3.332756,193,5.336400,29.973252,38
3.349600,194,5.143500,29.978553,38
3.366178,195,7.604900,29.983524,39
3.383146,196,4.062500,29.984609,39
3.399309,197,4.696900,29.989090,39
3.416086,198,4.521800,29.982215,39
3.433350,199,8.261900,29.979404,39
3.449785,200,3.639600,29.968395,39
3.467547,201,3.413800,29.946650,39
3.483757,202,3.526400,29.956763,39
3.499978,203,4.643000,29.987552,39
3.516942,204,5.540000,29.967818,39
3.532750,205,4.010600,29.971003,39
3.549367,206,5.197300,29.996499,39
3.566326,207,3.099200,29.982886,39
3.585081,208,7.364700,29.924175,39
3.599275,209,5.035500,30.003552,39
3.616361,210,5.099000,29.969892,39
3.632831,211,4.547700,29.986065,39
3.649489,212,4.682000,29.993446,39
3.665920,213,4.546700,29.986365,39
3.682451,214,5.034200,29.991815,39
3.699522,215,3.540400,29.984942,39
3.716344,216,4.679900,30.000723,39
3.732349,217,4.125100,30.022322,39
3.749303,218,5.030500,30.005323,39
3.766384,219,5.097800,30.006926,39
3.782797,220,4.434000,30.073093,39
3.799268,221,5.397200,29.993836,39
3.816751,222,5.249400,29.968075,39
3.833368,223,4.878800,30.000231,39
3.849494,224,4.500100,30.002166,39
3.866544,225,4.668300,29.998173,39
3.882972,226,5.550900,29.977454,39
3.900491,227,5.510500,29.969015,39
3.916933,228,5.378300,29.971036,39
3.933848,229,5.313200,29.979719,39
3.949611,230,4.561900,29.983758,39
3.966688,231,4.888300,29.986644,39
3.985260,232,3.952100,29.922489,39
4.000258,233,5.450500,29.979461,39
4.016346,234,4.853500,29.971150,39
4.033145,235,4.470100,29.976346,39
4.050161,236,2.904900,29.978907,39
4.067004,237,5.430300,29.986185,39
4.082941,238,4.471700,29.990940,39
4.099663,239,5.677800,29.997132,39
4.116523,240,4.592000,30.009867,39
4.133231,241,5.285800,29.984690,39
4.150028,242,5.511100,29.980264,39
4.167399,243,5.868400,29.995003,39
4.182884,244,3.822000,30.068351,39
4.200035,245,5.801900,29.982868,39
4.216988,246,5.479500,29.967348,39
4.233632,247,4.980000,29.973354,39
4.249910,248,3.729100,29.975792,39
4.266877,249,5.557100,29.984888,39
4.282966,250,5.093800,30.039433,39
4.300265,251,5.853800,29.989483,39
4.316909,252,5.516100,29.970222,39
4.332797,253,4.413000,29.999910,39
4.350243,254,2.736900,29.980833,39
4.366396,255,4.818100,29.994142,40
4.383433,256,4.396600,29.995801,40
4.400509,257,5.952800,29.976618,40
4.416357,258,5.679100,29.991581,40
4.433275,259,4.113600,30.001875,40
4.450611,260,3.413000,29.975618,40
4.467040,261,5.673300,30.021510,40
4.483166,262,4.783700,30.015971,40
4.500982,263,6.370600,29.983251,40
4.516634,264,15.172000,30.004903,40
4.533722,265,8.368300,29.988865,40
4.550623,266,16.409000,29.958675,40
4.567264,267,7.292300,29.977792,41
4.584940,268,9.609200,30.006466,41
4.599909,269,5.775300,29.989114,41
4.616679,270,5.517800,29.995720,41
4.634157,271,5.755700,29.970964,41
4.650212,272,4.725700,29.983425,41
4.667005,273,5.689600,29.975309,41
4.683893,274,5.299200,29.964187,41
4.700815,275,4.705800,29.970632,41
4.717066,276,4.308000,29.987447,41
4.734362,277,6.098000,29.946994,41
4.750160,278,4.425600,29.980282,41
4.767658,279,5.861000,29.965758,40
4.784581,280,7.280300,29.949362,40
4.800550,281,4.690100,29.965746,40
4.817144,282,4.766700,29.986395,40
4.833998,283,3.765200,29.991120,40
4.850184,284,4.478700,29.976406,40
4.866733,285,5.473900,29.990607,40
4.883865,286,3.333700,29.967734,40
4.900270,287,5.572400,29.997420,40
4.916755,288,5.532100,30.003435,40
4.933528,289,4.865600,30.004378,40
4.950046,290,3.905500,29.982598,40
4.967512,291,3.349200,29.979617,39
4.983688,292,3.137800,30.045775,39
5.000400,293,5.366200,29.993563,39
5.016446,294,4.807100,29.994133,39
5.033954,295,4.288900,29.970614,39
5.050553,296,4.336900,29.992211,39
5.068661,297,5.413600,29.918225,39
5.083247,298,4.965100,29.990682,39
5.100718,299,3.390300,29.957368,39
5.117675,300,3.330400,29.961625,39
5.134449,301,7.080900,29.954176,39
5.150178,302,15.240700,29.992727,39
5.167737,303,3.023000,29.972449,39
5.184344,304,3.048700,29.952352,39
5.201189,305,5.401600,29.952753,39
5.216990,306,4.475900,29.997552,39
5.235067,307,3.951300,29.945430,39
5.250484,308,3.317100,29.979689,39
5.266827,309,2.504500,29.979045,39
5.284107,310,3.591600,29.964001,39
5.300698,311,4.602000,29.981564,39
5.317330,312,5.587800,29.985292,39
5.333559,313,4.800600,29.971213,39
5.349761,314,3.487000,30.006226,39
5.367991,315,5.392700,29.940843,38
5.383580,316,4.705200,29.984546,38
5.400478,317,4.094400,29.978628,38
5.417585,318,5.033900,29.953790,38
5.433825,319,3.250500,29.967880,38
5.450620,320,2.979000,29.992922,38
5.467397,321,4.249700,29.964307,38
5.484592,322,4.387000,29.951021,38
5.500444,323,6.729900,29.988880,38
5.517504,324,3.197200,29.964917,38
5.533831,325,4.995800,29.975851,38
5.550808,326,4.467900,29.989806,38
5.566914,327,2.774600,29.990820,38
5.584488,328,4.224800,30.004321,38
5.600321,329,4.649000,29.971398,38
5.617693,330,3.304200,29.954903,38
5.634427,331,4.311800,29.964058,38
5.651030,332,5.356100,29.962631,38
5.666475,333,4.827200,29.997993,38
5.683752,334,2.522500,29.989890,38
5.700267,335,4.570000,29.997378,38
5.717600,336,3.292500,29.966872,38
5.733904,337,3.763600,29.990778,38
5.750210,338,4.581400,29.984189,38
5.767631,339,3.199400,29.979898,37
5.784037,340,3.564200,30.003765,37
5.800910,341,4.928100,29.973500,37
5.818117,342,3.588900,29.968000,37
5.834840,343,4.304200,29.947353,37
5.851168,344,5.099000,29.963100,37
5.866876,345,3.800000,29.981609,37
5.885935,346,5.337300,29.933559,37
5.901285,347,3.748100,29.955890,37
5.918026,348,5.395000,29.959707,37
5.934872,349,5.223800,29.943165,37
5.951303,350,4.132100,29.952627,37
5.966901,351,4.116300,30.000273,38
5.983915,352,2.627900,29.986458,38
6.000262,353,4.490200,29.986245,38
6.016999,354,5.190400,29.977142,38
6.034285,355,2.821200,29.981762,38
6.051724,356,3.516700,29.950381,38
6.067203,357,5.877200,30.046073,38
6.084048,358,5.551900,29.974737,38
6.100392,359,7.344000,30.002616,38
6.117173,360,5.162800,30.009135,38
6.134960,361,3.895600,29.986368,38
6.150661,362,4.088800,29.985637,38
6.167097,363,4.898100,30.014752,38
6.184029,364,4.505300,30.005056,38
6.200914,365,5.213300,30.002970,38
6.216753,366,4.284200,30.000288,38
6.233738,367,5.135200,30.031013,38
6.251113,368,3.884200,29.984306,38
6.266817,369,5.433100,30.001362,38
6.284444,370,5.172000,29.979611,38
6.300523,371,4.724500,29.997822,38
6.317611,372,3.203600,29.984555,38
6.333981,373,3.852300,29.987726,38
6.350312,374,4.676300,29.985337,38
6.367015,375,2.593700,30.025678,37
6.383824,376,4.196300,29.993584,37
6.400632,377,4.470200,29.996532,37
6.417658,378,4.461800,29.999472,37
6.434269,379,2.867900,29.986254,37
6.451697,380,3.128800,29.969940,37
6.467929,381,5.186700,29.990757,37
6.484164,382,3.926300,30.012758,37
6.500468,383,4.694500,30.000006,37
6.517320,384,2.972700,30.005626,37
6.534362,385,3.008600,29.984957,37
6.550871,386,5.022400,30.000426,37
6.567857,387,5.316500,29.972946,37
6.585222,388,4.722000,29.984462,37
6.600734,389,3.401100,29.996133,37
6.618274,390,3.927900,29.987585,37
6.634502,391,4.358300,30.004897,37
6.652142,392,4.360100,29.973872,37
6.667692,393,4.436900,29.972458,37
6.684789,394,4.497400,29.973321,37
6.700816,395,6.421500,29.981247,37
